Current(mA),Voltage(mV),dI(mA),dV(mV),Power(W),RawCapacity(mAh),T(C),SOC
0,4197.8,0,0,0,0,33,1
0,4197.4,0,-0.4,0,0,33,1
0,4197.1,0,-0.3,0,0,33,1
0,4196.8,0,-0.3,0,0,33,1
0,4196.6,0,-0.2,0,0,33,1
0,4196.4,0,-0.2,0,0,33,1
0,4196.2,0,-0.2,0,0,33,1
0,4196,0,-0.2,0,0,33,1
0,4195.8,0,-0.2,0,0,33,1
0,4195.6,0,-0.2,0,0,33,1
0,4195.5,0,-0.1,0,0,33,1
0,4195.3,0,-0.2,0,0,33,1
0,4195.2,0,-0.1,0,0,33,1
0,4195.1,0,-0.1,0,0,33,1
0,4194.9,0,-0.2,0,0,33,1
0,4194.8,0,-0.1,0,0,33,1
0,4194.7,0,-0.1,0,0,33,1
0,4194.5,0,-0.2,0,0,33,1
0,4194.4,0,-0.1,0,0,33,1
0,4194.3,0,-0.1,0,0,33,1
0,4194.2,0,-0.1,0,0,33,1
0,4194.1,0,-0.1,0,0,33,1
0,4194,0,-0.1,0,0,33,1
0,4193.8,0,-0.2,0,0,33,1
0,4193.7,0,-0.1,0,0,33,1
0,4193.6,0,-0.1,0,0,33,1
0,4193.5,0,-0.1,0,0,33,1
0,4193.4,0,-0.1,0,0,33,1
0,4193.3,0,-0.1,0,0,33,1
0,4193.1,0,-0.2,0,0,33,1
0,4193,0,-0.1,0,0,33,1
0,4193,0,0,0,0,33,1
0,4192.9,0,-0.1,0,0,33,1
0,4192.8,0,-0.1,0,0,33,1
0,4192.7,0,-0.1,0,0,33,1
0,4192.5,0,-0.2,0,0,33,1
0,4192.5,0,0,0,0,33,1
0,4192.4,0,-0.1,0,0,33,1
0,4192.2,0,-0.2,0,0,33,1
0,4192.2,0,0,0,0,33,1
0,4192.1,0,-0.1,0,0,33,1
0,4192,0,-0.1,0,0,33,1
0,4191.9,0,-0.1,0,0,33,1
0,4191.8,0,-0.1,0,0,33,1
0,4191.7,0,-0.1,0,0,33,1
0,4191.6,0,-0.1,0,0,33,1
0,4191.5,0,-0.1,0,0,33,1
0,4191.5,0,0,0,0,33,1
0,4191.4,0,-0.1,0,0,33,1
0,4191.3,0,-0.1,0,0,33,1
0,4191.3,0,0,0,0,33,1
0,4191.1,0,-0.2,0,0,33,1
0,4191.1,0,0,0,0,33,1
0,4191,0,-0.1,0,0,33,1
0,4190.9,0,-0.1,0,0,33,1
0,4190.8,0,-0.1,0,0,33,1
0,4190.7,0,-0.1,0,0,33,1
0,4190.7,0,0,0,0,33,1
0,4190.6,0,-0.1,0,0,33,1
0,4190.5,0,-0.1,0,0,33,1
0,4190.4,0,-0.1,0,0,33,1
0,4190.4,0,0,0,0,33,1
0,4190.3,0,-0.1,0,0,33,1
0,4190.2,0,-0.1,0,0,33,1
0,4190.2,0,0,0,0,33,1
0,4190,0,-0.2,0,0,33,1
0,4190,0,0,0,0,33,1
0,4189.9,0,-0.1,0,0,33,1
0,4189.8,0,-0.1,0,0,33,1
0,4189.8,0,0,0,0,33,1
0,4189.7,0,-0.1,0,0,33,1
0,4189.6,0,-0.1,0,0,33,1
0,4189.5,0,-0.1,0,0,33,1
0,4189.5,0,0,0,0,33,1
0,4189.4,0,-0.1,0,0,33,1
0,4189.3,0,-0.1,0,0,33,1
0,4189.3,0,0,0,0,33,1
0,4189.2,0,-0.1,0,0,33,1
0,4189.1,0,-0.1,0,0,33,1
0,4189.1,0,0,0,0,33,1
0,4189,0,-0.1,0,0,33,1
0,4188.9,0,-0.1,0,0,33,1
0,4188.9,0,0,0,0,33,1
0,4188.8,0,-0.1,0,0,33,1
0,4188.8,0,0,0,0,33,1
0,4188.7,0,-0.1,0,0,33,1
0,4188.6,0,-0.1,0,0,33,1
0,4188.6,0,0,0,0,33,1
0,4188.5,0,-0.1,0,0,33,1
0,4188.5,0,0,0,0,33,1
0,4188.4,0,-0.1,0,0,33,1
0,4188.3,0,-0.1,0,0,33,1
0,4188.2,0,-0.1,0,0,33,1
0,4188.2,0,0,0,0,33,1
0,4188.2,0,0,0,0,33,1
0,4188,0,-0.2,0,0,33,1
0,4188,0,0,0,0,33,1
0,4187.9,0,-0.1,0,0,33,1
0,4187.8,0,-0.1,0,0,33,1
0,4187.8,0,0,0,0,33,1
0,4187.8,0,0,0,0,33,1
0,4187.7,0,-0.1,0,0,33,1
0,4187.6,0,-0.1,0,0,33,1
0,4187.6,0,0,0,0,33,1
0,4187.6,0,0,0,0,33,1
0,4187.5,0,-0.1,0,0,33,1
0,4187.4,0,-0.1,0,0,33,1
0,4187.3,0,-0.1,0,0,33,1
0,4187.3,0,0,0,0,33,1
0,4187.2,0,-0.1,0,0,33,1
0,4187.2,0,0,0,0,33,1
0,4187.1,0,-0.1,0,0,33,1
0,4187,0,-0.1,0,0,33,1
0,4187,0,0,0,0,33,1
0,4186.9,0,-0.1,0,0,33,1
0,4186.9,0,0,0,0,33,1
0,4186.8,0,-0.1,0,0,33,1
0,4186.7,0,-0.1,0,0,33,1
0,4186.7,0,0,0,0,33,1
0,4186.6,0,-0.1,0,0,33,1
0,4186.6,0,0,0,0,33,1
0,4186.6,0,0,0,0,33,1
0,4186.5,0,-0.1,0,0,33,1
0,4186.5,0,0,0,0,33,1
0,4186.4,0,-0.1,0,0,33,1
0,4186.3,0,-0.1,0,0,33,1
0,4186.3,0,0,0,0,33,1
0,4186.2,0,-0.1,0,0,33,1
